"","stationYear","station","date_string","year","date"
"1",1102013,110,130511,2013,2013-05-11
"2",1102016,110,160604,2016,2016-06-04
"3",1102018,110,180515,2018,2018-05-15
"4",1122017,112,170509,2017,2017-05-09
"5",1142013,114,130510,2013,2013-05-10
"6",1142016,114,160428,2016,2016-04-28
"7",1142018,114,180515,2018,2018-05-15
"8",1172013,117,130511,2013,2013-05-11
"9",1172016,117,160428.714285714,2016,2016-04-28
"10",1172017,117,170504,2017,2017-05-04
"11",1172018,117,180514,2018,2018-05-14
"12",1242013,124,130520,2013,2013-05-20
"13",1242016,124,160505,2016,2016-05-05
"14",1242017,124,170503,2017,2017-05-03
"15",1242018,124,180607,2018,2018-06-07
"16",1272013,127,130509,2013,2013-05-09
"17",1272016,127,160506,2016,2016-05-06
"18",1272017,127,170504,2017,2017-05-04
"19",1272018,127,180608,2018,2018-06-08
"20",1312013,131,130515.192982456,2013,2013-05-15
"21",1312016,131,160504,2016,2016-05-04
"22",1312017,131,170605,2017,2017-06-05
"23",1312018,131,180516,2018,2018-05-16
"24",1322013,132,130512,2013,2013-05-12
"25",1322018,132,180516,2018,2018-05-16
"26",1342013,134,130512,2013,2013-05-12
"27",1342016,134,160505,2016,2016-05-05
"28",1342017,134,170606,2017,2017-06-06
"29",1342018,134,180517,2018,2018-05-17
"30",1382013,138,130516,2013,2013-05-16
"31",1382016,138,160426,2016,2016-04-26
"32",1382017,138,170427,2017,2017-04-27
"33",1392013,139,130516,2013,2013-05-16
"34",1392018,139,180620,2018,2018-06-20
"35",1522016,152,160504,2016,2016-05-04
"36",1562017,156,170503,2017,2017-05-03
"37",1562018,156,180518,2018,2018-05-18
"38",1672013,167,130517,2013,2013-05-17
"39",1672016,167,160502,2016,2016-05-02
"40",1672017,167,170516,2017,2017-05-16
"41",1672018,167,180525,2018,2018-05-25
"42",1702013,170,130517,2013,2013-05-17
"43",1702016,170,160503,2016,2016-05-03
"44",1702018,170,180526,2018,2018-05-26
"45",1712013,171,130517,2013,2013-05-17
"46",1712017,171,170516,2017,2017-05-16
"47",1832013,183,130519,2013,2013-05-19
"48",1832018,183,180523,2018,2018-05-23
"49",4022015,402,150606,2015,2015-06-06
"50",4022016,402,160509,2016,2016-05-09
"51",4022017,402,170610,2017,2017-06-10
"52",4022018,402,180508,2018,2018-05-08
"53",4112015,411,150608,2015,2015-06-08
"54",4112016,411,160510,2016,2016-05-10
"55",4112018,411,180511,2018,2018-05-11
"56",4122017,412,170610,2017,2017-06-10
"57",4132015,413,150515,2015,2015-05-15
"58",4132018,413,180511,2018,2018-05-11
"59",4142016,414,160511,2016,2016-05-11
"60",4222015,422,150604,2015,2015-06-04
"61",4222016,422,160507,2016,2016-05-07
"62",4222017,422,170510,2017,2017-05-10
"63",4222018,422,180512,2018,2018-05-12
"64",4252015,425,150515,2015,2015-05-15
"65",4252016,425,160508,2016,2016-05-08
"66",4252017,425,170511,2017,2017-05-11
"67",4252018,425,180513,2018,2018-05-13
"68",4422015,442,150603,2015,2015-06-03
"69",4422016,442,160509.653658537,2016,2016-05-09
"70",4422017,442,170509,2017,2017-05-09
"71",4422018,442,180614,2018,2018-06-14
"72",4452016,445,160507,2016,2016-05-07
"73",4452017,445,170510,2017,2017-05-10
"74",4452018,445,180519,2018,2018-05-19
"75",4532015,453,150524,2015,2015-05-24
"76",4532016,453,160524,2016,2016-05-24
"77",4532017,453,170515,2017,2017-05-15
"78",4542013,454,130519,2013,2013-05-19
"79",4542015,454,150513.689750693,2015,2015-05-13
"80",4542016,454,160525,2016,2016-05-25
"81",4542018,454,180524,2018,2018-05-24
"82",4812015,481,150607,2015,2015-06-07
"83",4812018,481,180510,2018,2018-05-10
"84",4822016,482,160510,2016,2016-05-10
"85",4822017,482,170612,2017,2017-06-12
"86",4822018,482,180508,2018,2018-05-08
"87",4932017,493,170511,2017,2017-05-11
"88",4952015,495,150610,2015,2015-06-10
"89",4952016,495,160513,2016,2016-05-13
"90",4952017,495,170512,2017,2017-05-12
"91",4952018,495,180613,2018,2018-06-13
