station,sites,region,latitude,shore
183,FortRoss,north,38.4667,onshore
453,FortRoss,north,38.4667,onshore
454,FortRoss,north,38.4667,offshore
166,PointReyes,north,38.1667,onshore
167,PointReyes,north,38.1667,onshore
170,PointReyes,north,38.1667,offshore
171,PointReyes,north,38.1667,offshore
138,GulfFarallons,north_central,37.7061277456647,onshore
139,GulfFarallons,north_central,37.7061277456647,onshore
152,GulfFarallons,north_central,37.7061277456647,offshore
156,GulfFarallons,north_central,37.7061277456647,offshore
131,SanMateo,north_central,37.5137,onshore
132,SanMateo,north_central,37.5137,onshore
134,SanMateo,north_central,37.5137,offshore
124,Davenport,north_central,36.9833,onshore
127,Davenport,north_central,36.9833,offshore
114,MontereyBay,north_central,36.65131,onshore
112,MontereyBay,north_central,36.65131,onshore
110,MontereyBay,north_central,36.65131,offshore
117,MontereyBay,north_central,36.65131,offshore
442,PiedrasBlancas,central,35.7033,onshore
445,PiedrasBlancas,central,35.7033,offshore
493,MorroBay,central,35,onshore
495,MorroBay,central,35,offshore
422,SantaBarbara,south,34.15,onshore
425,SantaBarbara,south,34.15,offshore
411,MidChannelIslands,south,33.54717,onshore
412,MidChannelIslands,south,33.54717,onshore
413,MidChannelIslands,south,33.54717,offshore
414,MidChannelIslands,south,33.54717,offshore
481,SouthernCA,south,32.87108,onshore
482,SouthernCA,south,32.87108,onshore
402,SouthernCA,south,32.87108,offshore
